mmc_code,name,generic_name,mmc_type,price_low,price_high,as_of,search_category,matched_terms
29,COVID WARD: CRITICAL - PULMONARY MEDICINE,,CLINICAL SERVICES (PROF FEE),5000,7000,"August 31, 2023",facility,WARD
27,COVID WARD: MODERATE - PULMONARY MEDICINE,,CLINICAL SERVICES (PROF FEE),3000,5000,"August 31, 2023",facility,WARD
28,COVID WARD: SEVERE - PULMONARY MEDICINE,,CLINICAL SERVICES (PROF FEE),4000,6000,"August 31, 2023",facility,WARD
624,CRITICAL CARE STABILIZATION (CPR ONLY) - EMERGENCY MEDICINE,,CLINICAL SERVICES (PROF FEE),2400,2400,"August 31, 2023",facility,CRITICAL CARE
622,CRITICAL CARE STABILIZATION (CPR- ETC.) - EMERGENCY MEDICINE,,CLINICAL SERVICES (PROF FEE),7200,7200,"August 31, 2023",facility,CRITICAL CARE
91,CS HYSTERECTOMY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),20000,200000,"August 31, 2023",procedure,HYSTERECTOMY
116,CS HYSTERECTOMY - OBSTETRICS & GYNECOLOGY,,CLINICAL SERVICES (PROF FEE),50000,400000,"October 20, 2023",procedure,HYSTERECTOMY
565,DENTAL X-RAY/RADIOGRAPH - DENTAL MEDICINE (ENDODONTIC),,CLINICAL SERVICES (PROF FEE),500,500,"August 31, 2023",radiologic,X-RAY;RADIOGRAPH
456,DENTAL X-RAY/RADIOGRAPH - DENTAL MEDICINE (GENERAL DENTISTRY),,CLINICAL SERVICES (PROF FEE),400,500,"August 31, 2023",radiologic,X-RAY;RADIOGRAPH
690,EMERGENCY CIRCUMCISION - EMERGENCY MEDICINE,,CLINICAL SERVICES (PROF FEE),1800,1800,"September 01, 2023",procedure,CIRCUMCISION
64,ENDOMETRIAL BIOPSY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),5000,15000,"September 01, 2023",procedure,BIOPSY
99,ENDOMETRIAL BIOPSY - OBSTETRICS & GYNECOLOGY,,CLINICAL SERVICES (PROF FEE),2000,30000,"September 01, 2023",procedure,BIOPSY
679,EVACUATION OF SUBUNGUAL HEMATOMA - EMERGENCY MEDICINE,,CLINICAL SERVICES (PROF FEE),1200,1200,"September 01, 2023",blood_test,BUN
161,EXTERNAL FIXATION DISTAL RADIUS FRACTURE (WITH COBRA FIXATOR) - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),10000,25000,"September 01, 2023",procedure,FRACTURE
148,EXTERNAL FIXATION DISTAL RADIUS FRACTURE (WITH COBRA FIXATOR) - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),25000,50000,"September 01, 2023",procedure,FRACTURE
48,FLOUROSCOPIC GUIDED LUNG BIOPSY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),10000,20000,"September 01, 2023",procedure,BIOPSY
33,FLOUROSCOPIC GUIDED LUNG BIOPSY - PULMONARY MEDICINE,,CLINICAL SERVICES (PROF FEE),25000,30000,"September 01, 2023",procedure,BIOPSY
304,FOREQUARTER- HINDQUARTER AMPUTATION - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),36000,75000,"September 01, 2023",procedure,AMPUTATION
233,FOREQUARTER- HINDQUARTER AMPUTATION - ORTHOPEDIC SURGERY,,CLINICAL SERVICES (PROF FEE),90000,150000,"September 01, 2023",procedure,AMPUTATION
375,GASTROSCOPY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),4800,7500,"September 01, 2023",procedure,GASTROSCOPY
774,GASTROSCOPY - PEDIATRICS (ADMISSIONS / REFERRALS / PROCEDURES),,CLINICAL SERVICES (PROF FEE),12000,15000,"October 23, 2023",procedure,GASTROSCOPY
760,ICU - CARDIOLOGY,,CLINICAL SERVICES (PROF FEE),3850,11550,"October 23, 2023",facility,ICU
26,ICU - PULMONARY MEDICINE,,CLINICAL SERVICES (PROF FEE),4000,6000,"September 01, 2023",facility,ICU
365,IMAGE-GUIDED BIOPSY - RADIOLOGY,,CLINICAL SERVICES (PROF FEE),10000,75000,"September 01, 2023",procedure,BIOPSY
42,INTRAARTICULAR/INTRALESIONAL HYALURONIC ACID OR STEROID INJECTION PER JOINT - RHEUMATOLOGY,,CLINICAL SERVICES (PROF FEE),3000,4000,"September 01, 2023",facility,ICU
38,KIDNEY BIOPSY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),6000,10000,"September 01, 2023",procedure,BIOPSY
650,KIDNEY BIOPSY - NEPHROLOGY,,CLINICAL SERVICES (PROF FEE),15000,20000,"September 01, 2023",procedure,BIOPSY
383,LAP APPENDECTOMY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),100,70000,"August 31, 2023",procedure,APPENDECTOMY
398,LAP APPENDECTOMY - SURGERY,,CLINICAL SERVICES (PROF FEE),100000,140000,"August 31, 2023",procedure,APPENDECTOMY
380,LAP CHOLECYSTECTOMY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),100,70000,"August 31, 2023",procedure,CHOLECYSTECTOMY
395,LAP CHOLECYSTECTOMY - SURGERY,,CLINICAL SERVICES (PROF FEE),100000,140000,"August 31, 2023",procedure,CHOLECYSTECTOMY
394,LAPAROSCOPIC APPENDECTOMY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),24000,50000,"September 01, 2023",procedure,APPENDECTOMY
417,LAPAROSCOPIC APPENDECTOMY - SURGERY,,CLINICAL SERVICES (PROF FEE),60000,100000,"September 01, 2023",procedure,APPENDECTOMY
106,LAPAROSCOPIC HYSTERECTOMY - OBSTETRICS & GYNECOLOGY,,CLINICAL SERVICES (PROF FEE),70000,360000,"September 01, 2023",procedure,HYSTERECTOMY
75,LAPAROSCOPY -MYOMA - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),28000,150000,"September 01, 2023",procedure,LAPAROSCOPY
77,LAPAROSCOPY HYSTERECTOMY - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),28000,180000,"September 01, 2023",procedure,HYSTERECTOMY;LAPAROSCOPY
73,LAPAROSCOPY-ADNEXA - ANESTHESIOLOGY,,CLINICAL SERVICES (PROF FEE),16000,120000,"September 01, 2023",procedure,LAPAROSCOPY
104,LAPAROSCOPY-ADNEXA - OBSTETRICS & GYNECOLOGY,,CLINICAL SERVICES (PROF FEE),40000,240000,"September 01, 2023",procedure,LAPAROSCOPY
105,LAPAROSCOPY-MYOMA - OBSTETRICS & GYNECOLOGY,,CLINICAL SERVICES (PROF FEE),70000,300000,"September 01, 2023",procedure,LAPAROSCOPY
24,LARGE PRIVATE ROOM - PULMONARY MEDICINE,,CLINICAL SERVICES (PROF FEE),3000,6000,"September 01, 2023",facility,PRIVATE ROOM
